seq,t_send_ns,t_recv_ns,rtt_us
176,3996888712846,3996888762667,49.821
177,3996888763530,3996888814754,51.224
178,3996888815634,3996888871089,55.455
179,3996888873446,3996888939512,66.066
180,3996888940372,3996888990493,50.121
181,3996888991340,3996889041927,50.587
182,3996889042790,3996889093229,50.439
183,3996889094063,3996889144653,50.59
184,3996889145506,3996889196504,50.998
185,3996889197355,3996889247675,50.32
186,3996889248529,3996889299863,51.334
187,3996889300784,3996889353813,53.029
188,3996889354721,3996889405927,51.206
189,3996889406780,3996889458061,51.281
190,3996889458911,3996889508982,50.071
191,3996889509881,3996889560056,50.175
192,3996889560906,3996889611120,50.214
193,3996889611977,3996889662281,50.304
194,3996889663138,3996889713820,50.682
195,3996889714670,3996889764821,50.151
196,3996889765677,3996889816819,51.142
197,3996889817683,3996889867946,50.263
198,3996889868803,3996889919882,51.079
199,3996889920730,3996889971273,50.543
200,3996889972131,3996890022585,50.454
201,3996890023533,3996890074471,50.938
202,3996890075316,3996890125570,50.254
203,3996890126439,3996890177145,50.706
204,3996890177984,3996890228994,51.01
205,3996890229847,3996890367923,138.076
206,3996890368765,3996890420189,51.424
207,3996890421155,3996890472136,50.981
208,3996890473098,3996890523058,49.96
209,3996890523986,3996890574808,50.822
210,3996890575683,3996890626494,50.811
211,3996890627348,3996890678120,50.772
212,3996890678981,3996890730384,51.403
213,3996890731234,3996890781678,50.444
214,3996890782524,3996890832938,50.414
215,3996890833811,3996890883784,49.973
216,3996890884647,3996890934968,50.321
217,3996890935842,3996890986123,50.281
218,3996890986972,3996891037461,50.489
219,3996891040017,3996891092050,52.033
220,3996891092919,3996891143481,50.562
221,3996891144335,3996891194784,50.449
222,3996891195641,3996891246291,50.65
223,3996891247146,3996891297143,49.997
224,3996891298055,3996891348756,50.701
225,3996891349615,3996891399361,49.746
226,3996891400200,3996891450814,50.614
227,3996891451676,3996891502859,51.183
228,3996891503710,3996891554255,50.545
229,3996891556798,3996891608071,51.273
230,3996891608962,3996891659045,50.083
231,3996891659902,3996891709726,49.824
232,3996891710603,3996891760910,50.307
233,3996891761893,3996891812252,50.359
234,3996891813129,3996891864009,50.88
235,3996891864896,3996891915437,50.541
236,3996891916321,3996891966940,50.619
237,3996891967805,3996892111617,143.812
238,3996892112556,3996892157476,44.92
239,3996892158338,3996892202070,43.732
240,3996892202926,3996892246924,43.998
241,3996892247796,3996892292200,44.404
242,3996892293083,3996892337448,44.365
243,3996892338326,3996892382931,44.605
244,3996892396921,3996892444892,47.971
245,3996892445751,3996892489339,43.588
246,3996892490205,3996892533760,43.555
247,3996892534623,3996892577635,43.012
248,3996892578505,3996892622093,43.588
249,3996892622959,3996892667375,44.416
250,3996892668249,3996892713091,44.842
251,3996892713943,3996892758567,44.624
252,3996892759445,3996892803479,44.034
253,3996892804385,3996892847916,43.531
254,3996892863021,3996892923943,60.922
255,3996892924818,3996892968552,43.734
256,3996892969423,3996893013507,44.084
257,3996893014359,3996893058516,44.157
258,3996893059472,3996893104989,45.517
259,3996893105909,3996893150690,44.781
260,3996893151568,3996893195680,44.112
261,3996893196548,3996893240533,43.985
262,3996893241400,3996893299706,58.306
263,3996893300633,3996893350579,49.946
264,3996893351446,3996893414992,63.546
265,3996893417355,3996893481873,64.518
266,3996893482734,3996893533515,50.781
267,3996893534386,3996893585185,50.799
268,3996893587835,3996893638646,50.811
269,3996893639677,3996893776485,136.808
270,3996893777399,3996893828753,51.354
271,3996893831390,3996893882243,50.853
272,3996893883158,3996893933036,49.878
273,3996893933908,3996893985020,51.112
274,3996893985900,3996894036946,51.046
275,3996894037816,3996894087714,49.898
276,3996894088564,3996894139004,50.44
277,3996894139870,3996894189812,49.942
278,3996894190673,3996894240703,50.03
279,3996894241567,3996894292168,50.601
280,3996894293079,3996894343217,50.138
281,3996894344087,3996894395208,51.121
282,3996894396068,3996894447152,51.084
283,3996894448010,3996894499834,51.824
284,3996894500690,3996894550796,50.106
285,3996894551667,3996894602087,50.42
286,3996894602954,3996894653749,50.795
287,3996894654615,3996894709803,55.188
288,3996894712172,3996894766478,54.306
289,3996894767350,3996894817727,50.377
290,3996894818650,3996894863203,44.553
291,3996894864070,3996894908889,44.819
292,3996894909771,3996894953835,44.064
293,3996894967970,3996895016629,48.659
294,3996895017522,3996895061349,43.827
295,3996895062210,3996895106452,44.242
296,3996895107325,3996895151854,44.529
297,3996895152718,3996895196591,43.873
298,3996895197462,3996895241587,44.125
299,3996895242451,3996895286748,44.297
300,3996895289324,3996895334289,44.965
301,3996895335164,3996895478411,143.247
302,3996895479268,3996895523438,44.17
303,3996895524310,3996895568252,43.942
304,3996895569114,3996895612719,43.605
305,3996895613587,3996895657918,44.331
306,3996895658797,3996895703247,44.45
307,3996895704098,3996895751801,47.703
308,3996895752676,3996895797026,44.35
309,3996895798005,3996895841764,43.759
310,3996895842642,3996895887441,44.799
311,3996895888288,3996895931755,43.467
312,3996895932633,3996895976835,44.202
313,3996895977682,3996896022886,45.204
314,3996896023829,3996896068793,44.964
315,3996896069661,3996896113935,44.274
316,3996896114821,3996896175474,60.653
317,3996896177873,3996896236770,58.897
318,3996896237649,3996896282212,44.563
319,3996896283073,3996896326899,43.826
320,3996896327766,3996896371852,44.086
321,3996896374523,3996896435534,61.011
322,3996896437955,3996896496199,58.244
323,3996896497073,3996896541873,44.8
324,3996896542764,3996896586778,44.014
325,3996896587652,3996896636871,49.219
326,3996896637769,3996896699804,62.035
327,3996896702219,3996896759841,57.622
328,3996896760733,3996896806159,45.426
329,3996896807035,3996896851601,44.566
330,3996896852481,3996896897092,44.611
331,3996896897971,3996896942127,44.156
332,3996896944918,3996896994694,49.776
333,3996896997396,3996897143695,146.299
334,3996897146187,3996897206158,59.971
335,3996897208557,3996897267928,59.371
336,3996897270363,3996897330171,59.808
337,3996897332540,3996897392075,59.535
338,3996897394469,3996897454382,59.913
339,3996897456759,3996897510890,54.131
340,3996897511777,3996897562085,50.308
341,3996897562970,3996897612752,49.782
342,3996897613630,3996897665258,51.628
343,3996897666127,3996897733220,67.093
344,3996897735659,3996897790532,54.873
345,3996897791399,3996897841505,50.106
346,3996897842389,3996897886450,44.061
347,3996897887330,3996897932270,44.94
348,3996897933141,3996897976946,43.805
349,3996897977814,3996898033881,56.067
350,3996898034757,3996898078564,43.807
351,3996898079423,3996898123417,43.994
352,3996898124294,3996898169234,44.94
353,3996898170315,3996898214737,44.422
354,3996898215631,3996898276506,60.875
355,3996898277341,3996898322069,44.728
356,3996898322958,3996898366619,43.661
357,3996898367492,3996898411380,43.888
358,3996898412262,3996898456942,44.68
359,3996898457817,3996898502063,44.246
360,3996898502941,3996898563885,60.944
361,3996898564745,3996898608681,43.936
362,3996898609550,3996898653602,44.052
363,3996898654486,3996898699561,45.075
364,3996898702167,3996898746197,44.03
365,3996898747072,3996898892052,144.98
366,3996898892932,3996898937834,44.902
367,3996898938762,3996898982423,43.661
368,3996898983301,3996899033607,50.306
369,3996899034485,3996899085283,50.798
370,3996899086165,3996899137138,50.973
371,3996899138020,3996899189325,51.305
372,3996899191906,3996899255183,63.277
373,3996899257606,3996899323267,65.661
374,3996899324133,3996899374257,50.124
375,3996899375124,3996899425567,50.443
376,3996899426447,3996899476786,50.339
377,3996899477658,3996899528176,50.518
378,3996899529054,3996899579872,50.818
379,3996899580754,3996899631281,50.527
380,3996899632148,3996899682846,50.698
381,3996899683726,3996899734271,50.545
382,3996899735151,3996899784998,49.847
383,3996899785856,3996899830085,44.229
384,3996899830967,3996899875514,44.547
385,3996899876378,3996899920585,44.207
386,3996899921463,3996899965844,44.381
387,3996899966710,3996900012661,45.951
388,3996900013581,3996900058517,44.936
389,3996900059412,3996900102703,43.291
390,3996900103572,3996900152134,48.562
391,3996900154563,3996900226521,71.958
392,3996900227446,3996900278528,51.082
393,3996900279411,3996900330306,50.895
394,3996900331192,3996900381572,50.38
395,3996900382469,3996900432508,50.039
396,3996900435166,3996900485696,50.53
397,3996900486574,3996900624803,138.229
398,3996900625676,3996900677582,51.906
399,3996900678452,3996900738618,60.166
400,3996900739501,3996900790377,50.876
401,3996900791418,3996900841940,50.522
402,3996900842832,3996900893365,50.533
403,3996900894234,3996900949690,55.456
404,3996900952121,3996901006803,54.682
405,3996901007678,3996901057733,50.055
406,3996901058614,3996901109021,50.407
407,3996901109887,3996901160313,50.426
408,3996901161196,3996901218381,57.185
409,3996901220766,3996901268522,47.756
410,3996901269399,3996901313964,44.565
411,3996901314846,3996901359388,44.542
412,3996901360267,3996901404197,43.93
413,3996901405077,3996901449204,44.127
414,3996901450101,3996901493927,43.826
415,3996901494784,3996901538870,44.086
416,3996901539755,3996901584679,44.924
417,3996901585550,3996901629291,43.741
418,3996901630167,3996901674284,44.117
419,3996901675158,3996901736165,61.007
420,3996901737054,3996901780969,43.915
421,3996901781856,3996901826194,44.338
422,3996901827072,3996901870843,43.771
423,3996901874439,3996901918874,44.435
424,3996901919749,3996901964876,45.127
425,3996901965733,3996902009665,43.932
426,3996902010532,3996902054550,44.018
427,3996902055420,3996902099349,43.929
428,3996902101965,3996902161580,59.615
429,3996902163946,3996902323093,159.147
430,3996902323943,3996902365548,41.605
431,3996902366394,3996902436355,69.961
432,3996902437198,3996902479128,41.93
