seq,t_send_ns,t_recv_ns,rtt_us
772,3996918512531,3996918562827,50.296
773,3996918563703,3996918614331,50.628
774,3996918615189,3996918665685,50.496
775,3996918666534,3996918716449,49.915
776,3996918717322,3996918766814,49.492
777,3996918767724,3996918817529,49.805
778,3996918820139,3996918869983,49.844
779,3996918870896,3996918921853,50.957
780,3996918924413,3996918975970,51.557
781,3996918976827,3996919029255,52.428
782,3996919030123,3996919080544,50.421
783,3996919081396,3996919131322,49.926
784,3996919132184,3996919178610,46.426
785,3996919179483,3996919218018,38.535
786,3996919218889,3996919257785,38.896
787,3996919258639,3996919298036,39.397
788,3996919298900,3996919337771,38.871
789,3996919338626,3996919377662,39.036
790,3996919378523,3996919439763,61.24
791,3996919440617,3996919490612,49.995
792,3996919491481,3996919541659,50.178
793,3996919542507,3996919591900,49.393
794,3996919592760,3996919642057,49.297
795,3996919642916,3996919693752,50.836
796,3996919694622,3996919744357,49.735
797,3996919745223,3996919795626,50.403
798,3996919796488,3996919846487,49.999
799,3996919847387,3996919896663,49.276
800,3996919897538,3996919953675,56.137
801,3996919954549,3996919993047,38.498
802,3996919993910,3996920033215,39.305
803,3996920034124,3996920073130,39.006
804,3996920074000,3996920112646,38.646
805,3996920113508,3996920151899,38.391
806,3996920152770,3996920204642,51.872
807,3996920207024,3996920260431,53.407
808,3996920261301,3996920311096,49.795
809,3996920311969,3996920361241,49.272
810,3996920364002,3996920414512,50.51
811,3996920415406,3996920466157,50.751
812,3996920467028,3996920517530,50.502
813,3996920518397,3996920570607,52.21
814,3996920571477,3996920622223,50.746
815,3996920623091,3996920674449,51.358
816,3996920675310,3996920725302,49.992
817,3996920726172,3996920785959,59.787
818,3996920786837,3996920826113,39.276
819,3996920826983,3996920865667,38.684
820,3996920866540,3996920904974,38.434
821,3996920905840,3996920945252,39.412
822,3996920946128,3996920991972,45.844
823,3996920992829,3996921031403,38.574
824,3996921032282,3996921071163,38.881
825,3996921072023,3996921110516,38.493
826,3996921111388,3996921150286,38.898
827,3996921151140,3996921190766,39.626
828,3996921191640,3996921245114,53.474
829,3996921245991,3996921285054,39.063
830,3996921285918,3996921324430,38.512
831,3996921326984,3996921365757,38.773
832,3996921366632,3996921404777,38.145
833,3996921405647,3996921458498,52.851
834,3996921472863,3996921534441,61.578
835,3996921535313,3996921585901,50.588
836,3996921586763,3996921636856,50.093
837,3996921637733,3996921688592,50.859
838,3996921689450,3996921738735,49.285
839,3996921739606,3996921790165,50.559
840,3996921791080,3996921841072,49.992
841,3996921841945,3996921892366,50.421
842,3996921895096,3996921945868,50.772
843,3996921946749,3996922011488,64.739
844,3996922013847,3996922078939,65.092
845,3996922079808,3996922131242,51.434
846,3996922132109,3996922182373,50.264
847,3996922183245,3996922233776,50.531
848,3996922234665,3996922289989,55.324
849,3996922292422,3996922356998,64.576
850,3996922357893,3996922407904,50.011
851,3996922408786,3996922459662,50.876
852,3996922460537,3996922510356,49.819
853,3996922511213,3996922556929,45.716
854,3996922557795,3996922602961,45.166
855,3996922603829,3996922648505,44.676
856,3996922649377,3996922694739,45.362
857,3996922695617,3996922740424,44.807
858,3996922741288,3996922786166,44.878
859,3996922787034,3996922848892,61.858
860,3996922851272,3996922912911,61.639
861,3996922913919,3996922959787,45.868
862,3996922960661,3996923005165,44.504
863,3996923006045,3996923064969,58.924
864,3996923065850,3996923121499,55.649
865,3996923123908,3996923190460,66.552
866,3996923191327,3996923241356,50.029
867,3996923242222,3996923292449,50.227
868,3996923293325,3996923344368,51.043
869,3996923345227,3996923395319,50.092
870,3996923396200,3996923445671,49.471
871,3996923446536,3996923496741,50.205
872,3996923497629,3996923547769,50.14
873,3996923548633,3996923599051,50.418
874,3996923601641,3996923651796,50.155
875,3996923652667,3996923703426,50.759
876,3996923704307,3996923755421,51.114
877,3996923756303,3996923808271,51.968
878,3996923809132,3996923859804,50.672
879,3996923860676,3996923911122,50.446
880,3996923911981,3996923962263,50.282
881,3996923963136,3996924017619,54.483
882,3996924018567,3996924064741,46.174
883,3996924067331,3996924113328,45.997
884,3996924114205,3996924159523,45.318
885,3996924160387,3996924211365,50.978
886,3996924213761,3996924275910,62.149
887,3996924276776,3996924326546,49.77
888,3996924327416,3996924377760,50.344
889,3996924378623,3996924429479,50.856
890,3996924430335,3996924486057,55.722
891,3996924488444,3996924542847,54.403
892,3996924543709,3996924594488,50.779
893,3996924595341,3996924648896,53.555
894,3996924649764,3996924699622,49.858
895,3996924700480,3996924760710,60.23
896,3996924763261,3996924811906,48.645
897,3996924812769,3996924858251,45.482
898,3996924859124,3996924904006,44.882
899,3996924904866,3996924950186,45.32
900,3996924951043,3996924996783,45.74
901,3996924997638,3996925056232,58.594
902,3996925057095,3996925106936,49.841
903,3996925107807,3996925157418,49.611
904,3996925158278,3996925208027,49.749
905,3996925208897,3996925259524,50.627
906,3996925262088,3996925312461,50.373
907,3996925313333,3996925363934,50.601
908,3996925364810,3996925415337,50.527
909,3996925416204,3996925467471,51.267
910,3996925468350,3996925519031,50.681
911,3996925519930,3996925569442,49.512
912,3996925570313,3996925620774,50.461
913,3996925621634,3996925671826,50.192
914,3996925672704,3996925722490,49.786
915,3996925723338,3996925774071,50.733
916,3996925774955,3996925825215,50.26
917,3996925826081,3996925871415,45.334
918,3996925872299,3996925917215,44.916
919,3996925918062,3996925962788,44.726
920,3996925963674,3996926009027,45.353
921,3996926009881,3996926072242,62.361
922,3996926074659,3996926139772,65.113
923,3996926140670,3996926190519,49.849
924,3996926191391,3996926241692,50.301
925,3996926242556,3996926291759,49.203
926,3996926292614,3996926341606,48.992
927,3996926342479,3996926392427,49.948
928,3996926393295,3996926442529,49.234
929,3996926443408,3996926494353,50.945
930,3996926495234,3996926544735,49.501
931,3996926545610,3996926595717,50.107
932,3996926596619,3996926647478,50.859
933,3996926650073,3996926699673,49.6
934,3996926700550,3996926750557,50.007
935,3996926751419,3996926800803,49.384
936,3996926801664,3996926862637,60.973
937,3996926863506,3996926909096,45.59
938,3996926911760,3996926956979,45.219
939,3996926957861,3996927003875,46.014
940,3996927004749,3996927050004,45.255
941,3996927050860,3996927097193,46.333
942,3996927098064,3996927159221,61.157
943,3996927173985,3996927219003,45.018
944,3996927219883,3996927265040,45.157
945,3996927265903,3996927310694,44.791
946,3996927311555,3996927356899,45.344
947,3996927357787,3996927421038,63.251
948,3996927436260,3996927481467,45.207
949,3996927482346,3996927527568,45.222
950,3996927528483,3996927572941,44.458
951,3996927573812,3996927618912,45.1
952,3996927619786,3996927680191,60.405
953,3996927682550,3996927731468,48.918
954,3996927732357,3996927778299,45.942
955,3996927779168,3996927824566,45.398
956,3996927825453,3996927871213,45.76
957,3996927872079,3996927917804,45.725
958,3996927918676,3996927968886,50.21
959,3996927971280,3996928038027,66.747
960,3996928038955,3996928089502,50.547
961,3996928090378,3996928141097,50.719
962,3996928141975,3996928191922,49.947
963,3996928192801,3996928250777,57.976
964,3996928253184,3996928320512,67.328
965,3996928321399,3996928371244,49.845
966,3996928372109,3996928422490,50.381
967,3996928423344,3996928472792,49.448
968,3996928473660,3996928524907,51.247
969,3996928525771,3996928575948,50.177
970,3996928578772,3996928634989,56.217
971,3996928635848,3996928687103,51.255
972,3996928687981,3996928737651,49.67
973,3996928738618,3996928790100,51.482
974,3996928790985,3996928841226,50.241
975,3996928842091,3996928892797,50.706
976,3996928893675,3996928943229,49.554
977,3996928944134,3996928994133,49.999
978,3996928995013,3996929046052,51.039
979,3996929046927,3996929097772,50.845
980,3996929098649,3996929148496,49.847
981,3996929149370,3996929199259,49.889
982,3996929200129,3996929260575,60.446
983,3996929261442,3996929307111,45.669
984,3996929309734,3996929355446,45.712
985,3996929356312,3996929402769,46.457
986,3996929403656,3996929449341,45.685
987,3996929450260,3996929494920,44.66
988,3996929495806,3996929556174,60.368
989,3996929570357,3996929615013,44.656
990,3996929615895,3996929661393,45.498
991,3996929662265,3996929707154,44.889
992,3996929708041,3996929753411,45.37
993,3996929754271,3996929799877,45.606
994,3996929800737,3996929857473,56.736
995,3996929858345,3996929908767,50.422
996,3996929909653,3996929958972,49.319
997,3996929959841,3996930009327,49.486
998,3996930010212,3996930060483,50.271
999,3996930061346,3996930116457,55.111
